,file_path_lead_DI,record_id,file_path_lead_DII,file_path_lead_DIII
0,VT_1903305_2_I.csv,VT_1903305_2,VT_1903305_2_II.csv,VT_1903305_2_III.csv
1,VT_991079_2_I.csv,VT_991079_2,VT_991079_2_II.csv,VT_991079_2_III.csv
2,VT_70319_2_I.csv,VT_70319_2,VT_70319_2_II.csv,VT_70319_2_III.csv
3,VT_30653_2_I.csv,VT_30653_2,VT_30653_2_II.csv,VT_30653_2_III.csv
4,VT_1806686_1_I.csv,VT_1806686_1,VT_1806686_1_II.csv,VT_1806686_1_III.csv
5,VT_1804556_I.csv,VT_1804556,VT_1804556_II.csv,VT_1804556_III.csv
6,VT_1806184_1_I.csv,VT_1806184_1,VT_1806184_1_II.csv,VT_1806184_1_III.csv
7,VT_1803265_I.csv,VT_1803265,VT_1803265_II.csv,VT_1803265_III.csv
8,VT_181159_1_I.csv,VT_181159_1,VT_181159_1_II.csv,VT_181159_1_III.csv
9,VT_1802073_I.csv,VT_1802073,VT_1802073_II.csv,VT_1802073_III.csv
10,VT_190808_I.csv,VT_190808,VT_190808_II.csv,VT_190808_III.csv
11,VT_1411045_2_I.csv,VT_1411045_2,VT_1411045_2_II.csv,VT_1411045_2_III.csv
12,VT_1805504_I.csv,VT_1805504,VT_1805504_II.csv,VT_1805504_III.csv
13,VT_180464_2_I.csv,VT_180464_2,VT_180464_2_II.csv,VT_180464_2_III.csv
14,VT_1805658_I.csv,VT_1805658,VT_1805658_II.csv,VT_1805658_III.csv
15,VT_1806662_I.csv,VT_1806662,VT_1806662_II.csv,VT_1806662_III.csv
16,VT_310736_4_I.csv,VT_310736_4,VT_310736_4_II.csv,VT_310736_4_III.csv
17,VT_1805562_1_I.csv,VT_1805562_1,VT_1805562_1_II.csv,VT_1805562_1_III.csv
18,VT_1803102_2_I.csv,VT_1803102_2,VT_1803102_2_II.csv,VT_1803102_2_III.csv
19,VT_1901679_1_I.csv,VT_1901679_1,VT_1901679_1_II.csv,VT_1901679_1_III.csv
20,VT_1005496_3_I.csv,VT_1005496_3,VT_1005496_3_II.csv,VT_1005496_3_III.csv
21,VT_902703_1_I.csv,VT_902703_1,VT_902703_1_II.csv,VT_902703_1_III.csv
22,VT_960933_1_I.csv,VT_960933_1,VT_960933_1_II.csv,VT_960933_1_III.csv
23,VT_1700382_3_I.csv,VT_1700382_3,VT_1700382_3_II.csv,VT_1700382_3_III.csv
24,VT_1604984_2_I.csv,VT_1604984_2,VT_1604984_2_II.csv,VT_1604984_2_III.csv
25,VT_960711_2_I.csv,VT_960711_2,VT_960711_2_II.csv,VT_960711_2_III.csv
26,VT_1804447_1_I.csv,VT_1804447_1,VT_1804447_1_II.csv,VT_1804447_1_III.csv
27,VT_1803080_1_I.csv,VT_1803080_1,VT_1803080_1_II.csv,VT_1803080_1_III.csv
28,VT_1800874_I.csv,VT_1800874,VT_1800874_II.csv,VT_1800874_III.csv
29,VT_308175_2_I.csv,VT_308175_2,VT_308175_2_II.csv,VT_308175_2_III.csv
30,VT_1901101_3_I.csv,VT_1901101_3,VT_1901101_3_II.csv,VT_1901101_3_III.csv
31,VT_1305154_3_I.csv,VT_1305154_3,VT_1305154_3_II.csv,VT_1305154_3_III.csv
32,VT_1900834_I.csv,VT_1900834,VT_1900834_II.csv,VT_1900834_III.csv
33,VT_1102430_2_I.csv,VT_1102430_2,VT_1102430_2_II.csv,VT_1102430_2_III.csv
34,VT_1904041_1_I.csv,VT_1904041_1,VT_1904041_1_II.csv,VT_1904041_1_III.csv
35,VT_1303642_I.csv,VT_1303642,VT_1303642_II.csv,VT_1303642_III.csv
36,VT_1606013_3_I.csv,VT_1606013_3,VT_1606013_3_II.csv,VT_1606013_3_III.csv
37,VT_1701655_1_I.csv,VT_1701655_1,VT_1701655_1_II.csv,VT_1701655_1_III.csv
38,VT_140408_1_I.csv,VT_140408_1,VT_140408_1_II.csv,VT_140408_1_III.csv
39,VT_1805729_I.csv,VT_1805729,VT_1805729_II.csv,VT_1805729_III.csv
40,VT_1601750_2_I.csv,VT_1601750_2,VT_1601750_2_II.csv,VT_1601750_2_III.csv
41,VT_171060_2_I.csv,VT_171060_2,VT_171060_2_II.csv,VT_171060_2_III.csv
42,VT_1706465_2_I.csv,VT_1706465_2,VT_1706465_2_II.csv,VT_1706465_2_III.csv
43,VT_190058_I.csv,VT_190058,VT_190058_II.csv,VT_190058_III.csv
44,VT_1902397_2_I.csv,VT_1902397_2,VT_1902397_2_II.csv,VT_1902397_2_III.csv
45,VT_960253_2_I.csv,VT_960253_2,VT_960253_2_II.csv,VT_960253_2_III.csv
46,VT_1901005_1_I.csv,VT_1901005_1,VT_1901005_1_II.csv,VT_1901005_1_III.csv
47,VT_1104503_3_I.csv,VT_1104503_3,VT_1104503_3_II.csv,VT_1104503_3_III.csv
48,VT_805459_1_I.csv,VT_805459_1,VT_805459_1_II.csv,VT_805459_1_III.csv
49,VT_1703633_2_I.csv,VT_1703633_2,VT_1703633_2_II.csv,VT_1703633_2_III.csv
50,VT_60027_1_I.csv,VT_60027_1,VT_60027_1_II.csv,VT_60027_1_III.csv
51,VT_1903418_2_I.csv,VT_1903418_2,VT_1903418_2_II.csv,VT_1903418_2_III.csv
52,VT_150561_2_I.csv,VT_150561_2,VT_150561_2_II.csv,VT_150561_2_III.csv
53,VT_1802024_I.csv,VT_1802024,VT_1802024_II.csv,VT_1802024_III.csv
54,VT_171087_2_I.csv,VT_171087_2,VT_171087_2_II.csv,VT_171087_2_III.csv
55,VT_190789_2_I.csv,VT_190789_2,VT_190789_2_II.csv,VT_190789_2_III.csv
56,VT_1802583_I.csv,VT_1802583,VT_1802583_II.csv,VT_1802583_III.csv
57,VT_1903559_2_I.csv,VT_1903559_2,VT_1903559_2_II.csv,VT_1903559_2_III.csv
58,VT_1802182_4_I.csv,VT_1802182_4,VT_1802182_4_II.csv,VT_1802182_4_III.csv
59,VT_1802872_I.csv,VT_1802872,VT_1802872_II.csv,VT_1802872_III.csv
60,VT_1902858_I.csv,VT_1902858,VT_1902858_II.csv,VT_1902858_III.csv
61,VT_1902760_2_I.csv,VT_1902760_2,VT_1902760_2_II.csv,VT_1902760_2_III.csv
62,VT_150957_1_I.csv,VT_150957_1,VT_150957_1_II.csv,VT_150957_1_III.csv
63,VT_1904182_1_I.csv,VT_1904182_1,VT_1904182_1_II.csv,VT_1904182_1_III.csv
64,VT_1800600_I.csv,VT_1800600,VT_1800600_II.csv,VT_1800600_III.csv
65,VT_1605582_4_I.csv,VT_1605582_4,VT_1605582_4_II.csv,VT_1605582_4_III.csv
66,VT_1806071_I.csv,VT_1806071,VT_1806071_II.csv,VT_1806071_III.csv
67,VT_1602613_1_I.csv,VT_1602613_1,VT_1602613_1_II.csv,VT_1602613_1_III.csv
68,VT_180802_4_I.csv,VT_180802_4,VT_180802_4_II.csv,VT_180802_4_III.csv
69,VT_1904094_I.csv,VT_1904094,VT_1904094_II.csv,VT_1904094_III.csv
70,VT_1900821_1_I.csv,VT_1900821_1,VT_1900821_1_II.csv,VT_1900821_1_III.csv
71,VT_1902674_I.csv,VT_1902674,VT_1902674_II.csv,VT_1902674_III.csv
72,VT_1800384_I.csv,VT_1800384,VT_1800384_II.csv,VT_1800384_III.csv
73,VT_1805723_1_I.csv,VT_1805723_1,VT_1805723_1_II.csv,VT_1805723_1_III.csv
74,VT_1901015_3_I.csv,VT_1901015_3,VT_1901015_3_II.csv,VT_1901015_3_III.csv
75,VT_1902152_I.csv,VT_1902152,VT_1902152_II.csv,VT_1902152_III.csv
76,VT_1903475_3_I.csv,VT_1903475_3,VT_1903475_3_II.csv,VT_1903475_3_III.csv
77,VT_1902089_3_I.csv,VT_1902089_3,VT_1902089_3_II.csv,VT_1902089_3_III.csv
78,VT_1806625_I.csv,VT_1806625,VT_1806625_II.csv,VT_1806625_III.csv
79,VT_1804691_2_I.csv,VT_1804691_2,VT_1804691_2_II.csv,VT_1804691_2_III.csv
80,VT_805550_1_I.csv,VT_805550_1,VT_805550_1_II.csv,VT_805550_1_III.csv
81,VT_1800098_2_I.csv,VT_1800098_2,VT_1800098_2_II.csv,VT_1800098_2_III.csv
82,VT_1904345_I.csv,VT_1904345,VT_1904345_II.csv,VT_1904345_III.csv
83,VT_190713_2_I.csv,VT_190713_2,VT_190713_2_II.csv,VT_190713_2_III.csv
84,VT_1400596_2_I.csv,VT_1400596_2,VT_1400596_2_II.csv,VT_1400596_2_III.csv
85,VT_1806020_5_I.csv,VT_1806020_5,VT_1806020_5_II.csv,VT_1806020_5_III.csv
86,VT_1604461_3_I.csv,VT_1604461_3,VT_1604461_3_II.csv,VT_1604461_3_III.csv
87,VT_1806350_2_I.csv,VT_1806350_2,VT_1806350_2_II.csv,VT_1806350_2_III.csv
